Rank,Population,Place Name,,
1,"21,95,914",Houston,houston|,HoustonSan AntonioDallasAustinFort WorthEl PasoArlingtonCorpus ChristiPlanoLaredoLubbockGarlandIrvingAmarilloGrand PrairieBrownsvillePasadenaMcKinneyMesquiteKilleenFriscoMcAllenWacoCarrolltonMidlandDentonAbileneBeaumontOdessaRound RockWichita FallsRichardsonLewisvilleTylerPearlandCollege StationSan AngeloAllenLeague CitySugar LandLongviewMissionEdinburgBryanBaytownPharrConroeTempleMissouri CityFlower MoundNorth Richland HillsHarlingenVictoriaNew BraunfelsCedar ParkMansfieldRowlettGeorgetownPort ArthurSan MarcosPflugervilleEulessDeSotoGrapevineGalvestonBedfordCedar HillTexas CityWylieHaltom CityKellerRockwallBurlesonCoppellHuntsvilleDuncanvilleThe ColonyShermanHurstLancasterFriendswoodTexarkanaWeslacoLufkinSchertzSan JuanDel RioLa PorteNacogdochesDeer ParkRosenbergCopperas CoveLittle ElmSocorroKyleLeanderFarmers BranchWaxahachieCleburneSouthlake|
2,"14,09,019",San Antonio,san antonio|,Houston|San Antonio|Dallas|Austin|Fort Worth|El Paso|Arlington|Corpus Christi|Plano|Laredo|Lubbock|Garland|Irving|Amarillo|Grand Prairie|Brownsville|Pasadena|McKinney|Mesquite|Killeen|Frisco|McAllen|Waco|Carrollton|Midland|Denton|Abilene|Beaumont|Odessa|Round Rock|Wichita Falls|Richardson|Lewisville|Tyler|Pearland|College Station|San Angelo|Allen|League City|Sugar Land|Longview|Mission|Edinburg|Bryan|Baytown|Pharr|Conroe|Temple|Missouri City|Flower Mound|North Richland Hills|Harlingen|Victoria|New Braunfels|Cedar Park|Mansfield|Rowlett|Georgetown|Port Arthur|San Marcos|Pflugerville|Euless|DeSoto|Grapevine|Galveston|Bedford|Cedar Hill|Texas City|Wylie|Haltom City|Keller|Rockwall|Burleson|Coppell|Huntsville|Duncanville|The Colony|Sherman|Hurst|Lancaster|Friendswood|Texarkana|Weslaco|Lufkin|Schertz|San Juan|Del Rio|La Porte|Nacogdoches|Deer Park|Rosenberg|Copperas Cove|Little Elm|Socorro|Kyle|Leander|Farmers Branch|Waxahachie|Cleburne|Southlake|
3,"13,79,260",Dallas,dallas|,houston|san antonio|dallas|austin|fort worth|el paso|arlington|corpus christi|plano|laredo|lubbock|garland|irving|amarillo|grand prairie|brownsville|pasadena|mckinney|mesquite|killeen|frisco|mcallen|waco|carrollton|midland|denton|abilene|beaumont|odessa|round rock|wichita falls|richardson|lewisville|tyler|pearland|college station|san angelo|allen|league city|sugar land|longview|mission|edinburg|bryan|baytown|pharr|conroe|temple|missouri city|flower mound|north richland hills|harlingen|victoria|new braunfels|cedar park|mansfield|rowlett|georgetown|port arthur|san marcos|pflugerville|euless|desoto|grapevine|galveston|bedford|cedar hill|texas city|wylie|haltom city|keller|rockwall|burleson|coppell|huntsville|duncanville|the colony|sherman|hurst|lancaster|friendswood|texarkana|weslaco|lufkin|schertz|san juan|del rio|la porte|nacogdoches|deer park|rosenberg|copperas cove|little elm|socorro|kyle|leander|farmers branch|waxahachie|cleburne|southlake
4,"8,85,400",Austin,austin|,
5,"7,92,727",Fort Worth,fort worth|,
6,"6,74,433",El Paso,el paso|,
7,"3,79,577",Arlington,arlington|,
8,"3,16,381",Corpus Christi,corpus christi|,
9,"2,74,409",Plano,plano|,
10,"2,48,142",Laredo,laredo|,
11,"2,39,538",Lubbock,lubbock|,
12,"2,34,566",Garland,garland|,
13,"2,28,653",Irving,irving|,
14,"1,96,429",Amarillo,amarillo|,
15,"1,83,372",Grand Prairie,grand prairie|,
16,"1,81,860",Brownsville,brownsville|,
17,"1,52,735",Pasadena,pasadena|,
18,"1,48,559",McKinney,mckinney|,
19,"1,43,484",Mesquite,mesquite|,
20,"1,37,147",Killeen,killeen|,
21,"1,36,791",Frisco,frisco|,
22,"1,36,639",McAllen,mcallen|,
23,"1,29,030",Waco,waco|,
24,"1,26,700",Carrollton,carrollton|,
25,"1,23,933",Midland,midland|,
26,"1,23,099",Denton,denton|,
27,"1,20,099",Abilene,abilene|,
28,"1,17,796",Beaumont,beaumont|,
29,"1,10,720",Odessa,odessa|,
30,"1,09,821",Round Rock,round rock|,
31,"1,04,898",Wichita Falls,wichita falls|,
32,"1,04,475",Richardson,richardson|,
33,"1,01,074",Lewisville,lewisville|,
34,"1,00,223",Tyler,tyler|,
35,"1,00,065",Pearland,pearland|,
36,"1,00,050",College Station,college station|,
37,"97,492",San Angelo,san angelo|,
38,"92,020",Allen,allen|,
39,"90,983",League City,league city|,
40,"83,860",Sugar Land,sugar land|,
41,"81,443",Longview,longview|,
42,"81,050",Mission,mission|,
43,"80,836",Edinburg,edinburg|,
44,"78,709",Bryan,bryan|,
45,"75,418",Baytown,baytown|,
46,"73,790",Pharr,pharr|,
47,"70,524",Conroe,conroe|,
48,"70,190",Temple,temple|,
49,"70,185",Missouri City,missouri city|,
50,"68,609",Flower Mound,flower mound|,
51,"67,317",North Richland Hills,north richland hills|,
52,"65,665",Harlingen,harlingen|,
53,"65,098",Victoria,victoria|,
54,"63,279",New Braunfels,new braunfels|,
55,"61,238",Cedar Park,cedar park|,
56,"60,872",Mansfield,mansfield|,
57,"58,043",Rowlett,rowlett|,
58,"54,898",Georgetown,georgetown|,
59,"54,135",Port Arthur,port arthur|,
60,"54,076",San Marcos,san marcos|,
61,"53,752",Pflugerville,pflugerville|,
62,"53,224",Euless,euless|,
63,"51,483",DeSoto,desoto|,
64,"50,195",Grapevine,grapevine|,
65,"48,733",Galveston,galveston|,
66,"48,592",Bedford,bedford|,
67,"46,663",Cedar Hill,cedar hill|,
68,"46,081",Texas City,texas city|,
69,"44,575",Wylie,wylie|,
70,"43,580",Haltom City,haltom city|,
71,"42,907",Keller,keller|,
72,"40,922",Rockwall,rockwall|,
73,"40,714",Burleson,burleson|,
74,"40,342",Coppell,coppell|,
75,"39,795",Huntsville,huntsville|,
76,"39,605",Duncanville,duncanville|,
77,"39,458",The Colony,the colony|,
78,"39,296",Sherman,sherman|,
79,"38,448",Hurst,hurst|,
80,"38,071",Lancaster,lancaster|,
81,"37,587",Friendswood,friendswood|,
82,"37,442",Texarkana,texarkana|,
83,"37,093",Weslaco,weslaco|,
84,"36,085",Lufkin,lufkin|,
85,"35,929",Schertz,schertz|,
86,"35,593",San Juan,san juan|,
87,"35,589",Del Rio,del rio|,
88,"34,654",La Porte,la porte|,
89,"33,868",Nacogdoches,nacogdoches|,
90,"33,237",Deer Park,deer park|,
91,"33,188",Rosenberg,rosenberg|,
92,"33,122",Copperas Cove,copperas cove|,
93,"32,701",Little Elm,little elm|,
94,"32,517",Socorro,socorro|,
95,"31,760",Kyle,kyle|,
96,"31,717",Leander,leander|,
97,"31,664",Farmers Branch,farmers branch|,
98,"31,591",Waxahachie,waxahachie|,
99,"29,747",Cleburne,cleburne|,
100,"28,234",Southlake,southlake|,
